question number,roll numbers,,,,,,,"question 1 is assigned to roll number 1,24,47 and 70 similarly."
1,1,24,47,70,,,,
2,2,25,48,71,,,,
3,3,26,49,,,,,
4,4,27,50,,,,,
5,5,28,51,,,,,
6,6,29,52,,,,,
7,7,30,53,,,,,
8,8,31,54,,,,,
9,9,32,55,,,,,
10,10,33,56,,,,,
11,11,34,57,,,,,
12,12,35,58,,,,,
13,13,36,59,,,,,
14,14,37,60,,,,,
15,15,38,61,,,,,
16,16,39,62,,,,,
17,17,40,63,,,,,
18,18,41,64,,,,,
19,19,42,65,,,,,
20,20,43,66,,,,,
21,21,44,67,,,,,
22,22,45,68,,,,,
23,23,46,69,,,,,
